org,cmpnd,log_slope
Dermabacter hominis,hexanoate,1.7662294981540392
Dermatophilus congolensis,Azido,1.5797919220517995
Dermatophilus congolensis,heptynoate,1.8601313111785969
Dermatophilus congolensis,hexanoate,1.650081566251682
Desulfobacter curvatus,Butoxy,1.8556728036293724
Enhygromyxa salina,Azido,1.5138318656962688
Enhygromyxa salina,heptynoate,1.6154587123496973
Frankiales bacterium YIM 75000,Butoxy,1.5465997057744654
Geodermatophilus obscurus,Azido,1.3969662865180335
Geodermatophilus obscurus,Butoxy,1.8844875069044165
Geodermatophilus obscurus,heptynoate,1.705282665742161
Geodermatophilus obscurus,hexanoate,1.1698097219308337
Granulosicoccus antarcticus,7Ph heptanoate,2.0505153672999104
Granulosicoccus antarcticus,Azido,2.372358744666914
Granulosicoccus antarcticus,Biotin,1.7162314099078209
Granulosicoccus antarcticus,Butoxy,2.504159989041647
Granulosicoccus antarcticus,ClPh propionate,1.9087904339537398
Granulosicoccus antarcticus,decanoate,1.9334872878487055
Granulosicoccus antarcticus,dimethyl,1.6000280441399042
Granulosicoccus antarcticus,heptynoate,2.704452867377391
Granulosicoccus antarcticus,hexanoate,2.5874562784530912
Granulosicoccus antarcticus,TMA,1.4490700598053106
Halobacteriovorax marinus,Azido,1.4677580616916148
Halobacteriovorax marinus,Biotin,1.1458583697116005
Halobacteriovorax marinus,heptynoate,1.6675210607673157
Halobacteriovorax marinus,hexanoate,1.7236520177910075
Halobacteriovorax marinus,TMA,1.0815397390380697
Humibacillus sp. DSM 29435,Azido,1.8239897680171826
Humibacillus sp. DSM 29435,ClPh propionate,1.7418970344501827
Humibacillus sp. DSM 29435,dodecanoate,1.7383954419927334
Humibacillus sp. DSM 29435,heptynoate,1.8327071293459105
Humibacillus sp. DSM 29435,hexanoate,1.5767204955766174
Intrasporangiaceae bacterium URHB0013,7Ph heptanoate,1.1681116997404088
Intrasporangiaceae bacterium URHB0013,Azido,1.9479912655381348
Intrasporangiaceae bacterium URHB0013,Biotin,0.855468051339578
Intrasporangiaceae bacterium URHB0013,Butoxy,1.8048777210174927
Intrasporangiaceae bacterium URHB0013,heptynoate,1.5503906198283217
Intrasporangiaceae bacterium URHB0013,hexanoate,1.877328483013549
Isoptericola variabilis,Azido,1.086990784576204
Isoptericola variabilis,Biotin,0.8138447541307154
Isoptericola variabilis,decanoate,1.1205739312058498
Isoptericola variabilis,heptynoate,1.4620852849036885
Isoptericola variabilis,hexanoate,0.4460462276399258
