cid,cmpnd
12305117,"(1R,9aR)-Octahydro-2H-quinolizine-1-carboxylic acid"
5282725,3-Decenoic acid
1490324,4-Propylcyclohexanecarboxylic acid
75200,Cyclohexanebutyric acid
5192,Sebacic acid
142712,10-Bromodecanoic acid
74300,10-Hydroxydecanoic acid
74502,"1,6-Dibromo-2-hydroxynaphthalene-3-carboxylic acid"
2063615,"trans-3,5-Bis(trifluoromethyl)cinnamic acid1"
2773212,"trans-3,5-Bis(trifluoromethyl)cinnamic acid2"
88665,1-Bromo-2-naphthoic acid
282591,4-Bromo-1-naphthoic acid
4549852,6-Bromo-2-naphthoic acid
68448,4-Fluoro-1-naphthoic acid
2782788,6-Fluoro-2-naphthoic acid
4445975,"2,5-Bis(trifluoromethyl)hydrocinnamic acid"
1268098,"3,5-Bis(trifluoromethyl)hydrocinnamic acid"
6847,1-Naphthoic acid
7123,2-Naphthoic acid
6844,1-Hydroxy-2-naphthoic acid
16790,2-Hydroxy-1-naphthoic acid
7104,3-Hydroxy-2-naphthoic acid
5463800,6-Hydroxy-1-naphthoic acid
85557,6-Hydroxy-2-naphthoic acid
671,"1,4-Dihydroxy-2-naphthoic acid"
66637,"3,5-Dihydroxy-2-naphthoic acid"
736299,"3,7-Dihydroxy-2-naphthoic acid"
16218288,4-(4-Bromophenyl)-2-(trifluoromethyl)butanoic acid
16218287,4-(4-Fluorophenyl)-2-(trifluoromethyl)butanoic acid
819380,(4-Methyl-1-oxophthalazin-2(1H)-yl)acetic acid
5020077,2-Methyl-3-phenyl-2-cyclopropene-1-carboxylic acid
118616,3-Methylindene-2-carboxylic acid
691106,3-(4-Methyl benzoyl)acrylic acid
2818493,"5-Oxo-5,6,7,8-tetrahydro-2-naphthalenecarboxylic acid"
369179,4-Methoxycarbonylcubanecarboxylic acid
251957,"Indan-2,2-dicarboxylic acid"
5355095,trans-3-(4-Methoxybenzoyl)acrylic acid
58216595,1-(4-Bromophenyl)-3-hydroxycyclobutanecarboxylic acid
51358228,1-(4-Chlorophenyl)-3-hydroxycyclobutanecarboxylic acid
16218289,4-Phenyl-2-(trifluoromethyl)butanoic acid
765581,N-(4-Carboxyphenyl)succinamic acid
101370,"1,2,3,4-Tetrahydro-2-naphthoic acid"
70804,"5,6,7,8-Tetrahydro-2-naphthoic acid"
239604,"5,6,7,8-tetrahydronaphthalene-1-carboxylic acid"
348644,3-Allyl-4-methoxybenzoic acid
2782322,3-Ethoxycinnamic acid1
5709602,3-Ethoxycinnamic acid2
544452,4-(3-Butenyloxy)benzoic acid
244162,4-(4-Methylphenyl)-4-oxobutyric acid
704218,4-Ethoxycinnamic acid
73914,5-Oxo-5-phenylvaleric acid
3861678,Mesitylglyoxylic acid
697594,"2,5-Dimethoxycinnamic acid"
717531,"3,4-Dimethoxycinnamic acid"
5324677,"3,5-Dimethoxycinnamic acid"
76613,3-(4-Methoxybenzoyl)propionic acid
3858,DL-Benzylsuccinic acid
735842,"trans-2,3-Dimethoxycinnamic acid1"
99525,"trans-2,3-Dimethoxycinnamic acid2"
734009,"trans-2,4-Dimethoxycinnamic acid"
637775,Sinapic acid
16197,2-(4-Chlorophenyl)-3-methylbutyric acid
3164941,"2-(4-chloro-3,5-dimethyl-phenoxy)-propionic acid"
1531518,2-(4-chloro-3-methyl-phenoxy)-2-methyl-propionic acid
2734670,5-(4-Fluorophenyl)valeric acid
235533,"2-Amino-1,2,3,4-tetrahydro-2-naphthalenecarboxylic acid"
77606,N-Benzyliminodiacetic acid
17908628,"3-(3,5-Dimethylphenyl)propanoic acid"
88631,4-Butylbenzoic acid
7403,4-tert-Butylbenzoic acid
16757,5-Phenylvaleric acid
78123,Mesitylacetic acid
11052,2-Hydroxy-3-isopropyl-6-methylbenzoic acid
20413,2-Hydroxy-6-isopropyl-3-methylbenzoic acid
78280,4-(4-Methoxyphenyl)butyric acid
562201,4-Benzyloxybutyric acid
72971,4-Butoxybenzoic acid
4426314,"2,4-Diethoxybenzoic acid"
3431853,"2,6-Diethoxybenzoic acid"
79417,"3,4-Diethoxybenzoic acid"
721136,"3,5-Diethoxybenzoic acid"
314929,"3-(2,3-Dimethoxyphenyl)propionic acid"
3870215,"3-(2,4-Dimethoxyphenyl)propionic acid"
66343,"3-(2,5-Dimethoxyphenyl)propionic acid"
75019,"3-(3,4-Dimethoxyphenyl)propionic acid"
70372,"3,4,5-Trimethoxyphenylacetic acid"
30818,3-Bromoadamantane-1-carboxylic acid
17605967,2-Methyl-N-(4-Methylphenyl)alanine
597182,"3-Amino-3-(3,4-dimethoxyphenyl)propionic acid"
24258975,(Dimethylamino)(3-methylphenyl)acetic acid
24258976,(Dimethylamino)(4-methylphenyl)acetic acid
232323,2-Amino-2-methyl-4-phenylbutanoic acid
7063994,3-[4-(Dimethylamino)phenyl]propanoic acid
13235,1-Adamantanecarboxylic acid
2736518,3-Hydroxyadamantane-1-carboxylic acid
71310729,(R)-2-(Boc-amino)-5-hexynoic acid
31039,10-Undecynoic acid
21306970,tert-Butyl 3-[methoxy(methyl)carbamoyl]azetidine-1-carboxylate
5634,10-Undecenoic acid
136759,4-tert-Butylcyclohexanecarboxylic acid
94769,Cyclohexanepentanoic acid
17812,11-Bromoundecanoic acid
8180,Undecanoic acid
77237,11-Hydroxyundecanoic acid
2334,Mellitic acid
79881,"1,8-Naphthalaldehydic acid"
95073,"2,3-Naphthalenedicarboxylic acid"
14357,"2,6-Naphthalenedicarboxylic acid"
6862,1-Naphthaleneacetic acid
11393,2-Naphthaleneacetic acid
3014285,4-Methyl-1-naphthoic acid
608722,1-Methoxy-2-naphthoic acid
70356,2-Methoxy-1-naphthoic acid
8422,2-Naphthoxyacetic acid
70161,3-Methoxy-2-naphthoic acid
349181,6-Methoxy-2-naphthoic acid
759280,"1,4-Phenylenediacrylic acid"
94305,"5-(1,3-Benzodioxol-5-yl)-2,4-pentadienoic acid1"
5370536,"5-(1,3-Benzodioxol-5-yl)-2,4-pentadienoic acid2"
13001421,"5-(1,3-Benzodioxol-5-yl)-2,4-pentadienoic acid3"
53398845,"1-(3-Phenyl-1,2,4-oxadiazol-5-yl)ethanamine trifluoroacetate"
28063267,3-(3-Hydroxy-3-methylbut-1-yn-1-yl)benzoic acid
3921417,4-(3-Hydroxy-3-methylbut-1-yn-1-yl)benzoic acid
212526,5-Methoxy-1-indanone-3-acetic acid
348720,"Benzene-1,3,5-triacetic acid"
97447,1-(4-Chlorophenyl)-1-cyclopentanecarboxylic acid
688183,"N,N-Diethyl-3,6-difluorophthalamic acid"
71299093,2-Pivalamido-5-(trifluoromethyl)nicotinic acid
66167,1-Phenyl-1-cyclopentanecarboxylic acid
13628190,4-[(Trimethylsilyl)ethynyl]benzoic acid
223595,5-Benzoylpentanoic acid
65990511,3-Hydroxy-1-(4-methoxyphenyl)cyclobutanecarboxylic acid
735755,"3,4,5-Trimethoxycinnamic acid"
1531683,"2-(4-Chloro-3,5-dimethylphenoxy)-2-methylpropanoic acid"
79695,6-Phenylhexanoic acid
78304,4-Butoxyphenylacetic acid
7010315,5-tert-Butyl-2-methoxybenzoic acid
266053,"4-(2,5-Dimethoxyphenyl)butyric acid"
323675,"4-(3,4-Dimethoxyphenyl)butyric acid"
64860,"3-(3,4,5-Trimethoxyphenyl)propionic acid"
2728837,3-Bromoadamantane-1-acetic acid
123221,1-Adamantaneacetic acid
98210874,"Ethyl (1R,8S,9r)-bicyclo[6.1.0]non-4-ene-9-carboxylate"
429307,3-Hydroxyadamantane-1-acetic acid1
713509,3-Hydroxyadamantane-1-acetic acid2
5312378,cis-5-Dodecenoic acid
98882,trans-4-Pentylcyclohexanecarboxylic acid
12736,Dodecanedioic acid
175468,12-Bromododecanoic acid
66980,2-Bromododecanoic acid
33970,2-Butyloctanoic acid
3893,Dodecanoic acid
79034,12-Hydroxydodecanoic acid
67542,Undecafluorohexanoic acid
5121297,(3-Chloro-6-oxopyridazin-1(6H)-yl)acetic acid
6099959,Magnesium citrate1
8949,Magnesium citrate2
3693607,Magnesium citrate3
91886505,Magnesium citrate4
6335619,Magnesium citrate5
10242446,Magnesium citrate6
57507849,Magnesium citrate7
2366695,"1-Methyl-6-oxo-1,6-dihydropyridazine-3-carboxylic acid"
639962,3-Cyclopropyl-2-propynoic acid
5280518,"cis,cis-Muconic acid"
5356793,"trans,trans-Muconic acid"
643757,cis-Aconitic acid
444212,trans-Aconitic acid
2782838,1-(Trifluoromethyl)cyclobutanecarboxylic acid
645306,"[(4-Methyl-1,3-thiazol-2-yl)thio]acetic acid"
95964,1-Cyclopentenecarboxylic acid
324380,2-Hexynoic acid
853756,3-Cyclopentenecarboxylic acid
143036,5-Hexynoic acid
643460,Sorbic acid
227798,3-Oxo-1-cyclopentanecarboxylic acid
3164166,4-Hydroxy-4-methylpent-2-ynoic acid
15376174,"3-Methyl-5,6-dihydro-1,4-dioxine-2-carboxylic acid"
75748,Allylmalonic acid
6544483,"cis-Cyclobutane-1,2-dicarboxylic acid"
2568,"Cyclobutane-1,1-dicarboxylic acid"
10888028,"trans-Cyclobutane-1,2-dicarboxylic acid"
71,2-Oxoadipic acid
14925,Tricarballylic acid
311,Citric acid
227176,"3-(2-Amino-1,3-thiazol-4-yl)propanoic acid"
3779453,3-Azabicyclo[3.1.0]hexane-2-carboxylic acid
8758,Nitrilotriacetic acid
3456032,3-Methyl-4-pentenoic acid
112103,4-methyl-pent-2-enoic acid
15308,5-Hexenoic acid
18840,Cyclopentanecarboxylic acid
5282707,trans-2-Hexenoic acid
5365909,trans-2-Methyl-2-pentenoic acid
5282708,trans-3-Hexenoic acid
2760863,3-(Trimethylsilyl)propynoic acid
117177,1-Hydroxycyclopentanecarboxylic acid
552244,3-(Allyloxy)propanoic acid
47,3-Methyl-2-oxopentanoic acid
246523,3-Methyl-4-oxopentanoic acid
18407,4-Acetylbutyric acid
70,4-Methyl-2-oxovaleric acid
13150,Trimethylpyruvic acid
11701,"2,2-Dimethylsuccinic acid"
11848,"2,3-Dimethylsuccinic acid"
12046,2-Methylglutaric acid
12284,3-Methylglutaric acid
196,Adipic acid
6950212,"meso-2,3-Dimethylsuccinic acid"
1662,3-Hydroxy-3-methylglutaric acid
3037582,Mucic acid
12013,2-Bromohexanoic acid
20210,6-Bromohexanoic acid
245933,2-Bromo-3-methoxy-3-methylbutyric acid
236508,2-Cyclopropylalanine
5187990,(tert-Butylamino)(oxo)acetic acid
4071245,6-Nitrohexanoic acid
7152,N-(2-Hydroxyethyl)iminodiacetic acid
11684,"2,2-Dimethylbutyric acid"
6915,2-Ethylbutyric acid
7341,2-Methylvaleric acid
14057,"3,3-Dimethylbutyric acid"
7755,3-Methylvaleric acid
12587,4-Methylvaleric acid
8892,Hexanoic acid
77199,2-Ethyl-2-hydroxybutyric acid
99824,2-Hydroxyhexanoic acid
92779,2-Hydroxyisocaproic acid
17046910,2-Isopropoxypropanoic acid
