variable,minutes,mean
Agrococcus casei,5,-1.9219744478780676
Agrococcus casei,6,-1.9059365660023695
Agrococcus casei,7,-1.8380839888359528
Agrococcus casei,8,-1.7665303620059145
Agrococcus casei,9,-1.759128262678669
Agrococcus casei,10,-1.8154664631138142
Agrococcus casei,11,-1.7159493499364045
Agrococcus casei,12,-1.778044738737185
Agrococcus casei,13,-1.7517261633514236
Agrococcus casei,14,-1.8047745418633485
Agrococcus casei,15,-1.799428581238116
Agrococcus casei,16,-1.8018959476805316
Agrococcus casei,17,-1.7846243825836248
Agrococcus casei,18,-1.7842131548432227
Agrococcus casei,19,-1.7924377096512734
Agrococcus casei,20,-1.7846243825836252
Agrococcus casei,21,-1.8072419083057638
Agrococcus casei,22,-1.7973724425361033
Agrococcus casei,23,-1.8031296309017386
Agrococcus casei,24,-1.7998398089785184
Agrococcus casei,25,-1.8014847199401287
Agrococcus casei,26,-1.7990173534977134
Agrococcus casei,27,-1.790792798689663
Agrococcus casei,28,-1.7875029767664432
Agrococcus casei,29,-1.802307175420934
Agrococcus casei,30,-1.8236910179218646
Agrococcus casei,31,-1.8010734921997262
Agrococcus casei,32,-1.8088868192673742
Agrococcus casei,33,-1.8261583843642801
Agrococcus casei,34,-1.8282145230662925
Agrococcus casei,35,-1.8129990966713991
Agrococcus casei,36,-1.830270661768305
Agrococcus casei,37,-1.8273920675854876
Agrococcus casei,38,-1.8360278501339407
Agrococcus casei,39,-1.830681889508708
Agrococcus casei,40,-1.8545330984520536
Agrococcus casei,41,-1.8652250197025197
Agrococcus casei,42,-1.8890762286458658
Agrococcus casei,43,-1.8841414957610358
Agrococcus casei,44,-1.9067590214831744
Agrococcus casei,45,-1.8997681498963317
Allokutzneria albata,0,-2.377614784244061
Allokutzneria albata,1,-2.588985842810957
Allokutzneria albata,2,-2.6983724217580285
Allokutzneria albata,3,-2.7098867984892987
Allokutzneria albata,4,-2.6699977076702543
Allokutzneria albata,5,-2.561022356463586
Allokutzneria albata,6,-2.4758982142002637
Allokutzneria albata,7,-2.343894109531054
Allokutzneria albata,8,-2.235329986064789
Allokutzneria albata,9,-2.102092198174372
Allokutzneria albata,10,-2.06096942413412
Allokutzneria albata,11,-2.028071204901918
Allokutzneria albata,12,-1.982836153457641
Allokutzneria albata,13,-1.9762565096112001
Allokutzneria albata,14,-1.9811912424960307
Allokutzneria albata,15,-1.9635084496587218
Allokutzneria albata,16,-1.9795463315344204
Allokutzneria albata,17,-1.9548726671102687
Allokutzneria albata,18,-1.9581624890334894
Allokutzneria albata,19,-1.9491154787446336
Allokutzneria albata,20,-1.9499379342254386
Allokutzneria albata,21,-1.9306102304265202
Allokutzneria albata,22,-1.9219744478780671
Allokutzneria albata,23,-1.933900052349741
Allokutzneria albata,24,-1.929376547205313
Allokutzneria albata,25,-1.935956191051753
Allokutzneria albata,26,-1.9285540917245076
Allokutzneria albata,27,-1.932666369128533
Allokutzneria albata,28,-1.9343112800901432
Allokutzneria albata,29,-1.9392460129749738
Allokutzneria albata,30,-1.9408909239365832
Allokutzneria albata,31,-1.9355449633113506
Allokutzneria albata,32,-1.947059340042621
Allokutzneria albata,33,-1.9630972219183196
Allokutzneria albata,34,-1.950349161965841
Allokutzneria albata,35,-1.9672094993223448
Allokutzneria albata,36,-1.961041083216307
Allokutzneria albata,37,-1.9680319548031497
Allokutzneria albata,38,-1.970499321245565
Allokutzneria albata,39,-1.9873596586020685
Allokutzneria albata,40,-1.9877708863424708
Allokutzneria albata,41,-1.9861259753808609
Allokutzneria albata,42,-1.9976403521121315
Allokutzneria albata,43,-2.0038087682181693
Allokutzneria albata,44,-2.0128557785070247
Allokutzneria albata,45,-2.014500689468635
Anaerocolumna xylanovorans,0,-1.8224573347006574
Anaerocolumna xylanovorans,1,-1.957340033552684
Anaerocolumna xylanovorans,2,-2.030949799084736
Anaerocolumna xylanovorans,3,-2.131289367742951
Anaerocolumna xylanovorans,4,-2.2024317668325875
Anaerocolumna xylanovorans,5,-2.1131953471652403
Anaerocolumna xylanovorans,6,-2.02683752168071
Anaerocolumna xylanovorans,7,-1.9589849445142944
Anaerocolumna xylanovorans,8,-1.8220461069602547
Anaerocolumna xylanovorans,9,-1.8097092747481789
Anaerocolumna xylanovorans,10,-1.8487759100864185
Anaerocolumna xylanovorans,11,-1.909637615665992
Anaerocolumna xylanovorans,12,-1.9507603897062444
Anaerocolumna xylanovorans,13,-1.92074076465686
Anaerocolumna xylanovorans,14,-1.9158060317720293
Anaerocolumna xylanovorans,15,-1.8981232389347213
Anaerocolumna xylanovorans,16,-1.8648137919621173
Anaerocolumna xylanovorans,17,-1.8389064443167582
Anaerocolumna xylanovorans,18,-1.8446636326823935
Anaerocolumna xylanovorans,19,-1.878795535135803
Anaerocolumna xylanovorans,20,-1.9030579718195515
Anaerocolumna xylanovorans,21,-1.8787955351358028
Anaerocolumna xylanovorans,22,-1.866458702923727
Anaerocolumna xylanovorans,23,-1.8919548228286835
Anaerocolumna xylanovorans,24,-1.8775618519145953
Anaerocolumna xylanovorans,25,-1.8767393964337897
Anaerocolumna xylanovorans,26,-1.87673939643379
Anaerocolumna xylanovorans,27,-1.8820853570590228
Anaerocolumna xylanovorans,28,-1.897300783453916
Anaerocolumna xylanovorans,29,-1.9232081310992755
Anaerocolumna xylanovorans,30,-1.9038804273003564
Anaerocolumna xylanovorans,31,-1.9158060317720298
Anaerocolumna xylanovorans,32,-1.9125162098488089
Anaerocolumna xylanovorans,33,-1.937189874272961
Anaerocolumna xylanovorans,34,-1.9380123297537657
Anaerocolumna xylanovorans,35,-1.9598073999950996
Anaerocolumna xylanovorans,36,-1.9388347852345709
Anaerocolumna xylanovorans,37,-1.9532277561486593
Anaerocolumna xylanovorans,38,-1.9729666876879801
Anaerocolumna xylanovorans,39,-1.9898270250444838
Anaerocolumna xylanovorans,40,-1.997640352112131
Anaerocolumna xylanovorans,41,-1.993528074708106
Anaerocolumna xylanovorans,42,-2.017379283651452
Anaerocolumna xylanovorans,43,-2.0112108675454143
Anaerocolumna xylanovorans,44,-2.030127343603931
Anaerocolumna xylanovorans,45,-2.040408037113994
Arenimonas oryziterrae,0,-1.5436449267077479
Arenimonas oryziterrae,1,-1.7155381221960018
Arenimonas oryziterrae,2,-1.8027184031613364
Arenimonas oryziterrae,3,-1.7870917490260405
Arenimonas oryziterrae,4,-1.7200616273404299
Arenimonas oryziterrae,5,-1.5987494439216858
Arenimonas oryziterrae,6,-1.4741474385797215
Arenimonas oryziterrae,7,-1.2853939057349644
Arenimonas oryziterrae,8,-1.1040424722174524
Arenimonas oryziterrae,9,-0.9263920883635632
Arenimonas oryziterrae,10,-0.7347599613359881
