Time,variable,value
26,C5.1,14.631771339339984
27,C5.1,15.042121934015627
28,C5.1,15.418091803191423
29,C5.1,15.7874073383995
30,C5.1,16.141196094349585
31,C5.1,16.46614940310625
32,C5.1,16.766703487314626
33,C5.1,17.103856408345425
34,C5.1,17.414391993505376
35,C5.1,17.69498307581061
36,C5.1,17.98888282605128
37,C5.1,18.255056184759805
38,C5.1,18.534538211403756
39,C5.1,18.78740290217686
40,C5.1,19.051358149562816
41,C5.1,19.30311378467463
42,C5.1,19.536015473544595
43,C5.1,19.725663991624423
44,C5.1,20.120487807042064
45,C5.1,20.3711343864926
46,C5.1,20.61734474329798
47,C5.1,20.696087695249254
48,C5.1,20.954497664328784
49,C5.1,21.24507024758559
50,C5.1,21.589986558245393
51,C5.1,22.01142770953389
52,C5.1,22.369652688129122
53,C5.1,23.184808599173984
54,C5.1,23.404401620108516
55,C5.1,23.265769662447823
56,C5.1,23.287950775673536
57,C5.1,23.79146204589717
58,C5.1,23.960038506412566
59,C5.1,24.06650784989598
60,C5.1,23.927875892235285
0,A4.1,-0.2916816389180936
1,A4.1,-0.4536037654657816
2,A4.1,-0.38373325880479303
3,A4.1,-0.29389975024066617
4,A4.1,-0.26173713606338467
5,A4.1,-0.06099806137070418
6,A4.1,0.08872445290284148
7,A4.1,0.26173713606338467
8,A4.1,0.3848423144660784
9,A4.1,0.6787420647067446
10,A4.1,0.9249524215121308
11,A4.1,1.3231034039136365
12,A4.1,1.6380752117187258
13,A4.1,2.008499802588094
14,A4.1,2.2624735490224785
15,A4.1,2.5497189652954315
16,A4.1,2.8536002164876644
17,A4.1,3.187425970534611
18,A4.1,3.494634388710701
19,A4.1,3.7474990794838012
20,A4.1,4.1201417816757395
21,A4.1,4.455076591383969
22,A4.1,4.797774790721197
23,A4.1,5.110528487203717
24,A4.1,5.40221012612181
25,A4.1,5.736035880168756
26,A4.1,6.025499407764279
27,A4.1,6.351561772182224
28,A4.1,6.6432434111003165
29,A4.1,6.937143161340984
30,A4.1,7.199989353065654
31,A4.1,7.508306826903031
32,A4.1,7.761171517676131
33,A4.1,8.050635045271655
34,A4.1,8.303499736044754
35,A4.1,8.561909705124283
36,A4.1,8.820319674203812
37,A4.1,9.06431191968663
38,A4.1,9.304976998185587
39,A4.1,9.521242852136265
40,A4.1,9.749708318361087
41,A4.1,9.972628506279477
42,A4.1,10.163386080020588
43,A4.1,10.361907043390698
44,A4.1,10.588154398292946
45,A4.1,10.799984029598482
46,A4.1,10.989632547678308
47,A4.1,11.182608232741991
48,A4.1,11.384456363095957
49,A4.1,11.620685218949774
50,A4.1,11.895731022948585
51,A4.1,12.175213049592537
52,A4.1,12.380388346930362
53,A4.1,12.611071924477752
54,A4.1,12.819574388799431
55,A4.1,13.034731187088822
56,A4.1,13.23103403913636
57,A4.1,13.440645559119327
58,A4.1,13.624748798892723
59,A4.1,13.89314026892382
60,A4.1,14.14156873705178
0,B4.1,0.07874295195127301
1,B4.1,-0.11423273311241022
2,B4.1,-0.015526779257998502
3,B4.1,-0.031053558515994784
4,B4.1,0.016635834919283
5,B4.1,0.149722514273547
6,B4.1,0.2628461917246696
7,B4.1,0.4547128211270661
8,B4.1,0.5877995004813301
9,B4.1,0.9271705328347033
10,B4.1,1.1589631660433772
11,B4.1,1.564877538073881
12,B4.1,2.0062816912655217
13,B4.1,2.4543401784248764
14,B4.1,2.886871886326231
15,B4.1,3.238442530953744
16,B4.1,3.622175789758536
17,B4.1,4.048053163692179
18,B4.1,4.543801044286811
19,B4.1,4.999622921075165
20,B4.1,5.55858697436307
21,B4.1,6.150822697489543
22,B4.1,6.71200486210002
23,B4.1,7.2598783587750715
24,B4.1,7.832151079998404
25,B4.1,8.417732469157166
26,B4.1,8.98445991207407
27,B4.1,9.565605078587687
28,B4.1,10.119023853569164
29,B4.1,10.661352071937788
30,B4.1,11.205898401628984
31,B4.1,11.743790397352464
32,B4.1,12.25062883455995
33,B4.1,12.778539329331863
34,B4.1,13.268741931620067
35,B4.1,13.752290199940559
36,B4.1,14.238056579583624
37,B4.1,14.681678844097831
38,B4.1,15.178535780353748
39,B4.1,15.631030490158244
40,B4.1,16.137868927365734
41,B4.1,16.64138019758936
42,B4.1,17.167072581038703
43,B4.1,17.706073632423468
44,B4.1,18.180749455453675
45,B4.1,18.66097055679031
46,B4.1,18.77520328990272
47,B4.1,19.02584986935325
48,B4.1,19.095720376014235
49,B4.1,19.36854806869048
50,B4.1,19.621412759463578
51,B4.1,19.869841227591536
52,B4.1,20.15486853254192
53,B4.1,20.382224943105452
54,B4.1,20.662816025410685
55,B4.1,20.880190935022654
56,B4.1,21.100893011618474
57,B4.1,21.310504531601435
58,B4.1,21.49571682703612
59,B4.1,21.852832749970062
60,B4.1,22.115678941694732
0,OleA,0.2517556351118153
1,OleA,0.24731941246667244
2,OleA,0.5234742721267693
3,OleA,0.5744908325459033
4,OleA,0.6665424524326027
5,OleA,0.8406641912544321
6,OleA,1.0125678187536877
7,OleA,1.1822533349303739
8,OleA,1.3086856803169233
9,OleA,1.6846555494927191
10,OleA,1.8987032921208247
11,OleA,2.357852335893034
12,OleA,2.8558183278102374
13,OleA,3.3182945385663025
14,OleA,3.759698691757942
15,OleA,4.191121343998015
16,OleA,4.643616053802508
17,OleA,5.070602483397438
18,OleA,5.4986979686536515
19,OleA,5.863577281216591
20,OleA,6.395923998633644
21,OleA,6.8839084895992775
22,OleA,7.354148089984343
23,OleA,7.799988465821125
24,OleA,8.269119010544904
25,OleA,8.747122000558967
26,OleA,9.159690706557184
27,OleA,9.63214841826482
28,OleA,10.081315961085457
29,OleA,10.533810670889954
30,OleA,10.96412426746874
31,OleA,11.401092198015238
32,OleA,11.798134124755455
33,OleA,12.267264669479236
34,OleA,12.704232600025733
35,OleA,13.084638691846669
36,OleA,13.550442069586593
37,OleA,13.956356441617096
38,OleA,14.408851151421592
39,OleA,14.795911577210239
40,OleA,15.180753891676321
41,OleA,15.563378094819829
42,OleA,15.940457019656908
43,OleA,16.32640838978427
44,OleA,16.662452255153788
45,OleA,16.98629650824916
46,OleA,17.356721099118527
47,OleA,17.597386177617487
48,OleA,17.88463159389044
49,OleA,18.552283101984326
50,OleA,18.840637573918567
51,OleA,18.998123477821107
52,OleA,19.196644441191218
53,OleA,19.436200464028893
54,OleA,19.660229707608572
55,OleA,19.911985342720385
56,OleA,20.142668920267774
57,OleA,20.355607607234596
58,OleA,20.549692347959564
59,OleA,20.701632973555682
60,OleA,20.92677127279665
0,B5.1,-0.21737490961196304
1,B5.1,-0.3072084181760921
2,B5.1,-0.3959328710789345
3,B5.1,-0.30499030685352047
4,B5.1,-0.3770789248370803
5,B5.1,-0.3493525333049412
6,B5.1,-0.3737517578532237
7,B5.1,-0.35600686727265574
8,B5.1,-0.4436222645142114
9,B5.1,-0.3837332588047917
10,B5.1,-0.4036962607079331
11,B5.1,-0.22070207659581964
12,B5.1,-0.1896485180798253
13,B5.1,-0.259519024740813
14,B5.1,-0.24510130114410233
15,B5.1,-0.1885394624185397
16,B5.1,-0.12643234538655057
17,B5.1,-0.08317917459641389
18,B5.1,-0.06987050666098882
19,B5.1,-0.05767089438684714
20,B5.1,0.0365988368224226
21,B5.1,0.05323467174170493
22,B5.1,0.13752290199940576
23,B5.1,0.1020331208382681
24,B5.1,0.14750440295097422
25,B5.1,0.1364138463381206
26,B5.1,0.19297568506368212
27,B5.1,0.2229201879183924
28,B5.1,0.23955602283767363
29,B5.1,0.24842846812795805
30,B5.1,0.2373379115151033
31,B5.1,0.2606280804020993
32,B5.1,0.2706095813536691
33,B5.1,0.3171899191276619
34,B5.1,0.2938997502406657
35,B5.1,0.32828047574051666
36,B5.1,0.3460253663210855
37,B5.1,0.35378875595008363
38,B5.1,0.36598836822422465
39,B5.1,0.3648793125629388
40,B5.1,0.3870604257886501
41,B5.1,0.3848423144660784
42,B5.1,0.3693155352080808
43,B5.1,0.3815151474822227
44,B5.1,0.3837332588047935
45,B5.1,0.4059143720305034
46,B5.1,0.3914966484337916
47,B5.1,0.3781879804983652
48,B5.1,0.3870604257886501
49,B5.1,0.3781879804983648
50,B5.1,0.36155214557908355
51,B5.1,0.3526797002887978
52,B5.1,0.3593340342565119
53,B5.1,0.3515706446275142
54,B5.1,0.35378875595008363
55,B5.1,0.3615521455790831
56,B5.1,0.3704245908693653
57,B5.1,0.3515706446275124
58,B5.1,0.32717142007923083
59,B5.1,0.3316076427243737
60,B5.1,0.3393710323533723
0,D2.1,0.0011090556612862734
1,D2.1,-0.3504615889662275
2,D2.1,-0.3072084181760917
3,D2.1,-0.3926057040950779
4,D2.1,-0.4902026022882038
5,D2.1,-0.4824392126592043
6,D2.1,-0.5012931589010601
7,D2.1,-0.5168199381590572
8,D2.1,-0.5977810014329006
9,D2.1,-0.562291220271762
10,D2.1,-0.550091607997623
11,D2.1,-0.42033209562721496
12,D2.1,-0.3316076427243728
13,D2.1,-0.23068357754738944
14,D2.1,-0.1863213510959696
15,D2.1,-0.1630311822089725
16,D2.1,-0.15526779257997503
17,D2.1,-0.14306818030583268
18,D2.1,-0.11755990009626571
19,D2.1,-0.13197762369297772
20,D2.1,-0.07763389628998718
21,D2.1,-0.04879844909656317
22,D2.1,-0.012199612274141458
23,D2.1,-0.0698705066609886
24,D2.1,-0.025508280209567635
25,D2.1,-0.02550828020956697
26,D2.1,0.014417723596712007
27,D2.1,0.019963001903140487
28,D2.1,0.025508280209566525
29,D2.1,0.022181113225710147
30,D2.1,0.05212561608041999
31,D2.1,0.05877995004813319
32,D2.1,0.055452783064277034
33,D2.1,0.07541578496741619
34,D2.1,0.08872445290284325
35,D2.1,0.08872445290284237
36,D2.1,0.12199612274140881
37,D2.1,0.11534178877369516
38,D2.1,0.11534178877369516
39,D2.1,0.0964878425318414
40,D2.1,0.1231051784026933
41,D2.1,0.12865045670912156
42,D2.1,0.11201462178983812
43,D2.1,0.12199612274140881
44,D2.1,0.14750440295097578
45,D2.1,0.16857646051540032
46,D2.1,0.13419573501554893
47,D2.1,0.16303118220897206
48,D2.1,0.13530479067683476
49,D2.1,0.13974101332197675
50,D2.1,0.08428823025770082
51,D2.1,0.11312367745112395
52,D2.1,0.10314217649955504
53,D2.1,0.1053602878221267
54,D2.1,0.09870595385441261
55,D2.1,0.11866895575755176
56,D2.1,0.09759689819312545
57,D2.1,0.09759689819312634
58,D2.1,0.004436222645141541
59,D2.1,0.054343727402991426
60,D2.1,0.025508280209567857
0,G2.1,0.0565618387255622
1,G2.1,-0.24066507849896013
2,G2.1,-0.25508280209567236
3,G2.1,-0.38151514748222226
4,G2.1,-0.41700492864335903
5,G2.1,-0.3038812511922342
6,G2.1,-0.31829897478894775
7,G2.1,-0.27948202664395394
8,G2.1,-0.37707892483707983
9,G2.1,-0.33271669838565776
10,G2.1,-0.24953752378924454
11,G2.1,-0.04214411512884997
12,G2.1,0.13641384633812104
13,G2.1,0.18743040675725586
14,G2.1,0.10425123216083909
15,G2.1,0.08539728591898577
16,G2.1,0.04768939343527756
17,G2.1,0.0066543339677132
18,G2.1,0.05877995004813297
19,G2.1,-0.0011090556612851632
20,G2.1,0.05323467174170493
21,G2.1,0.05988900570941813
22,G2.1,0.16524929353154327
23,G2.1,0.1253232897252643
24,G2.1,0.1131236774511235
25,G2.1,0.17412173882182813
26,G2.1,0.23179263320867616
27,G2.1,0.28391824928909637
28,G2.1,0.3027721955309488
29,G2.1,0.29500880590195067
30,G2.1,0.31386275214380444
31,G2.1,0.3349348097082294
32,G2.1,0.3194080304502318
33,G2.1,0.3704245908693671
34,G2.1,0.3815151474822218
35,G2.1,0.40924153901436044
36,G2.1,0.43918604186906984
37,G2.1,0.46469432207863637
38,G2.1,0.48798449096563257
39,G2.1,0.48576637964306135
40,G2.1,0.5356738844009103
41,G2.1,0.5755998882071895
42,G2.1,0.5689455542394763
43,G2.1,0.5988900570941857
44,G2.1,0.604435335400614
45,G2.1,0.6465794505294631
46,G2.1,0.6465794505294631
47,G2.1,0.6465794505294631
48,G2.1,0.6643243411100319
49,G2.1,0.6853963986744569
50,G2.1,0.6532337844971772
51,G2.1,0.6665424524326022
52,G2.1,0.6942688439647413
53,G2.1,0.6987050666098842
54,G2.1,0.7031412892550257
55,G2.1,0.7541578496741601
56,G2.1,0.7752299072385829
57,G2.1,0.7386310704161616
58,G2.1,0.6964869552873116
59,G2.1,0.7208861798355946
60,G2.1,0.7419582374000195
0,B3.1,0.18521229543468376
1,B3.1,-0.149722514273547
2,B3.1,-0.08096106327384334
3,B3.1,-0.08096106327384378
4,B3.1,-0.18743040675725453
5,B3.1,-0.16857646051539987
6,B3.1,-0.1885394624185408
7,B3.1,-0.13641384633812015
8,B3.1,-0.17523079448311396
9,B3.1,-0.11755990009626549
10,B3.1,-0.06765239533841783
11,B3.1,0.06210711703198957
12,B3.1,0.12975951237040784
13,B3.1,0.22957452188610494
14,B3.1,0.17744890580568384
15,B3.1,0.16192212654768712
16,B3.1,0.06987050666098815
17,B3.1,0.023290168886996643
18,B3.1,-0.041035059467564805
19,B3.1,-0.09648784253184006
20,B3.1,-0.033271669838565776
21,B3.1,-0.0133086679354264
22,B3.1,0
