Time,variable,value
53,B3.1,-0.024399224548282472
54,B3.1,-0.047689393435276894
55,B3.1,-0.05434372740299187
56,B3.1,-0.058779950048133855
57,B3.1,-0.07541578496741685
58,B3.1,-0.07874295195127301
59,B3.1,-0.07319767364484475
60,B3.1,-0.07208861798355981
0,D3.1,0.4890935466269175
1,D3.1,0.44251320885292555
2,D3.1,0.38262420314350676
3,D3.1,0.3316076427243737
4,D3.1,0.4247683182723563
5,D3.1,0.4203320956272143
6,D3.1,0.38816948144993546
7,D3.1,0.46136715509477977
8,D3.1,0.5412191627073382
9,D3.1,0.4791120456753486
10,D3.1,0.517928993820342
11,D3.1,0.562291220271764
12,D3.1,0.5434372740299089
13,D3.1,0.44473132017549677
14,D3.1,0.3937147597563633
15,D3.1,0.375969869175794
16,D3.1,0.34935253330494165
17,D3.1,0.36377025690165343
18,D3.1,0.35046158896622703
19,D3.1,0.3515706446275124
20,D3.1,0.30942652949866245
21,D3.1,0.28835447193423835
22,D3.1,0.25730091341824224
23,D3.1,0.2839182492890955
24,D3.1,0.24953752378924365
25,D3.1,0.20850246432167996
26,D3.1,0.19075757374111024
27,D3.1,0.17523079448311352
28,D3.1,0.15194062559611776
29,D3.1,0.11423273311240889
30,D3.1,0.10536028782212581
31,D3.1,0.09870595385441261
32,D3.1,0.06987050666098771
33,D3.1,0.0621071170319909
34,D3.1,0.05101656041913438
35,D3.1,0.043253170790134465
36,D3.1,0.025508280209567413
37,D3.1,0.03770789248370754
38,D3.1,0.03548978116113721
39,D3.1,0.01663583491928211
40,D3.1,-0.004436222645141541
41,D3.1,-0.0066543339677127555
42,D3.1,-0.011090556612855185
43,D3.1,-0.01552677925799717
44,D3.1,-0.021072057564424984
45,D3.1,-0.0266173358708528
46,D3.1,-0.03992600380628053
47,D3.1,-0.04436222645142074
48,D3.1,-0.06432522835456211
49,D3.1,-0.07319767364484431
50,D3.1,-0.07541578496741597
51,D3.1,-0.09094256422541402
52,D3.1,-0.09316067554798524
53,D3.1,-0.09537878687055645
54,D3.1,-0.12421423406397869
55,D3.1,-0.11312367745112573
56,D3.1,-0.12199612274140881
57,D3.1,-0.1308685680316919
58,D3.1,-0.14417723596711918
59,D3.1,-0.14085006898326125
60,D3.1,-0.16303118220897295
0,E3.1,0.28502730495038087
1,E3.1,0.16968551617668615
2,E3.1,0.11423273311240845
3,E3.1,0.14417723596711962
4,E3.1,0.21072057564424984
5,E3.1,0.2539737464343852
6,E3.1,0.28280919362780965
7,E3.1,0.36709742388550914
8,E3.1,0.48909354662691884
9,E3.1,0.5223652164654835
10,E3.1,0.6033262797393273
11,E3.1,0.6144168363521834
12,E3.1,0.6354888939166079
13,E3.1,0.588908556142616
14,E3.1,0.6033262797393277
15,E3.1,0.5290195504331976
16,E3.1,0.496856936255917
17,E3.1,0.45914904377220855
18,E3.1,0.46580337773992264
19,E3.1,0.46025809943349394
20,E3.1,0.4170049286433586
21,E3.1,0.38484231446607975
22,E3.1,0.35157064462751286
23,E3.1,0.3438072549985134
24,E3.1,0.3316076427243728
25,E3.1,0.28280919362780965
26,E3.1,0.27393674833752524
27,E3.1,0.2096115199829649
28,E3.1,0.16746740485411493
29,E3.1,0.1297595123704065
30,E3.1,0.083179174596415
31,E3.1,0.05545278306427681
32,E3.1,0.014417723596710452
33,E3.1,-0.032162614177279725
34,E3.1,-0.09870595385441261
35,E3.1,-0.11866895575755221
36,E3.1,-0.14861345861226116
37,E3.1,-0.18077607278954266
38,E3.1,-0.21848396527324976
39,E3.1,-0.2451013011441021
40,E3.1,-0.2927906945793781
41,E3.1,-0.31940803045023136
42,E3.1,-0.34935253330494165
43,E3.1,-0.3415891436759422
44,E3.1,-0.3626612012403676
45,E3.1,-0.3948238154176491
46,E3.1,-0.4103505946756463
47,E3.1,-0.4369679305464982
48,E3.1,-0.4491675428206401
49,E3.1,-0.45582187678835195
50,E3.1,-0.4347498192239274
51,E3.1,-0.4902026022882042
52,E3.1,-0.5057293815462018
53,E3.1,-0.5201471051429127
54,E3.1,-0.544546329691193
55,E3.1,-0.5611821646104787
56,E3.1,-0.5578549976266207
57,E3.1,-0.5534187749814792
58,E3.1,-0.5866904448200443
59,E3.1,-0.5755998882071891
60,E3.1,-0.5977810014329004
0,F3.1,0.7696846289321564
1,F3.1,0.5866904448200447
2,F3.1,0.49685693625591654
3,F3.1,0.47689393435277827
4,F3.1,0.4580399881109223
5,F3.1,0.4702396003850633
6,F3.1,0.45138565414321086
7,F3.1,0.47689393435277694
8,F3.1,0.509056548530058
9,F3.1,0.5001841032397731
10,F3.1,0.5290195504331971
11,F3.1,0.5401101070460532
12,F3.1,0.6288345599488947
13,F3.1,0.57559988820719
14,F3.1,0.6299436156101801
15,F3.1,0.6343798382553225
16,F3.1,0.6243983373037523
17,F3.1,0.6011081684167561
18,F3.1,0.5634002759330494
19,F3.1,0.5744908325459028
20,F3.1,0.5024022145623444
21,F3.1,0.4591490437722099
22,F3.1,0.38927853711122085
23,F3.1,0.37375175785322323
24,F3.1,0.34491631065979966
25,F3.1,0.3493525333049421
26,F3.1,0.31386275214380444
27,F3.1,0.24731941246667244
28,F3.1,0.20406624167653753
29,F3.1,0.1874304067572541
30,F3.1,0.14528629162840456
31,F3.1,0.14085006898326213
32,F3.1,0.10536028782212536
33,F3.1,0.07541578496741597
34,F3.1,0.05545278306427637
35,F3.1,0.05767089438684625
36,F3.1,0.031053558515994784
37,F3.1,0.02218111322571037
38,F3.1,0.013308667935425955
39,F3.1,-0.033271669838566886
40,F3.1,-0.06654333967713111
41,F3.1,-0.07874295195127123
42,F3.1,-0.09648784253184184
43,F3.1,-0.083179174596415
44,F3.1,-0.10092406517698427
45,F3.1,-0.09316067554798524
46,F3.1,-0.1408500689832639
47,F3.1,-0.1541587369186881
48,F3.1,-0.18853946241854036
49,F3.1,-0.1807760727895409
50,F3.1,-0.19741190770882344
51,F3.1,-0.20628435299910874
52,F3.1,-0.21848396527324931
53,F3.1,-0.21293868696682194
54,F3.1,-0.27171863701495313
55,F3.1,-0.27393674833752746
56,F3.1,-0.2628461917246705
57,F3.1,-0.2805910823052393
58,F3.1,-0.31497180780508893
59,F3.1,-0.32384425309537335
60,F3.1,-0.33937103235337185
0,G3.1,0.52569238344934055
1,G3.1,0.475784878691492
2,G3.1,0.397041926740219
3,G3.1,0.36487931256293926
4,G3.1,0.48133015699791937
5,G3.1,0.5157108824977694
6,G3.1,0.48798449096563257
7,G3.1,0.46136715509477977
8,G3.1,0.49796599191720325
9,G3.1,0.41145965033693077
10,G3.1,0.39704192674021943
11,G3.1,0.3404800880146577
12,G3.1,0.3127536964825186
13,G3.1,0.29833597288580727
14,G3.1,0.18853946241853947
15,G3.1,0.12643234538655035
16,G3.1,0.1863213510959687
17,G3.1,0.17190362749925692
18,G3.1,0.19075757374111113
19,G3.1,0.19186662940239652
20,G3.1,0.15083156993483193
21,G3.1,0.128650456709122
22,G3.1,0.09426973120926929
23,G3.1,0.08872445290284237
24,G3.1,0.07763389628998674
25,G3.1,0.025508280209567413
26,G3.1,0.01774489058056883
27,G3.1,-0.0365988368224226
28,G3.1,-0.08761539724155698
29,G3.1,-0.08096106327384378
30,G3.1,-0.1397410133219763
31,G3.1,-0.13197762369297816
32,G3.1,-0.13086856803169278
33,G3.1,-0.1696855161766857
34,G3.1,-0.20406624167653753
35,G3.1,-0.211829631305537
36,G3.1,-0.21848396527324931
37,G3.1,-0.26284619172467094
38,G3.1,-0.299445028547094
39,G3.1,-0.3227351974340893
40,G3.1,-0.3382619766920856
41,G3.1,-0.3615521455790809
42,G3.1,-0.39260570409507745
43,G3.1,-0.384842314466078
44,G3.1,-0.3948238154176482
45,G3.1,-0.39593287107893405
46,G3.1,-0.42809548525621555
47,G3.1,-0.4646943220786368
48,G3.1,-0.45360376546578207
49,G3.1,-0.48354826832049014
50,G3.1,-0.4380769862077831
51,G3.1,-0.5057293815462018
52,G3.1,-0.512383715513915
53,G3.1,-0.5268014391106273
54,G3.1,-0.5523097193201929
55,G3.1,-0.5722727212233347
56,G3.1,-0.5523097193201947
57,G3.1,-0.5634002759330494
58,G3.1,-0.5933447787877579
59,G3.1,-0.594453834449042
60,G3.1,-0.6243983373037527
0,H3.1,0.46913054472377835
1,H3.1,0.4702396003850642
2,H3.1,0.41478681732078737
3,H3.1,0.4114596503369321
4,H3.1,0.4414041531916393
5,H3.1,0.49574788059463026
6,H3.1,0.5323467174170542
7,H3.1,0.5268014391106255
8,H3.1,0.6255073929650385
9,H3.1,0.5767089438684749
10,H3.1,0.5523097193201933
11,H3.1,0.4646943220786377
12,H3.1,0.47800299001406277
13,H3.1,0.40702342769178834
14,H3.1,0.41589587298207276
15,H3.1,0.41367776165950243
16,H3.1,0.4391860418690685
17,H3.1,0.38595137012736425
18,H3.1,0.3316076427243728
19,H3.1,0.29833597288580727
20,H3.1,0.29389975024066484
21,H3.1,0.27393674833752657
22,H3.1,0.29722691722452144
23,H3.1,0.2828091936278101
24,H3.1,0.3238442530953738
25,H3.1,0.2983359728858077
26,H3.1,0.30942652949866245
27,H3.1,0.3005540842083789
28,H3.1,0.28613636061166625
29,H3.1,0.3072084181760908
30,H3.1,0.29722691722452277
31,H3.1,0.28835447193423835
32,H3.1,0.27393674833752524
33,H3.1,0.2850273049503813
34,H3.1,0.27837297098266767
35,H3.1,0.28724541627295075
36,H3.1,0.2761548596600969
37,H3.1,0.29611786156323516
38,H3.1,0.2950088059019502
39,H3.1,0.28724541627295164
40,H3.1,0.28946352759552374
41,H3.1,0.30720841817609257
42,H3.1,0.301663139869663
43,H3.1,0.3072084181760921
44,H3.1,0.3271714200792304
45,H3.1,0.30609936251480585
46,H3.1,0.3227351974340875
47,H3.1,0.3027721955309488
48,H3.1,0.30609936251480585
49,H3.1,0.31053558515994784
50,H3.1,0.32273519743408885
51,H3.1,0.32717142007923083
52,H3.1,0.3338257540469436
53,H3.1,0.3249533087566596
54,H3.1,0.3060993625148072
55,H3.1,0.326062364417945
56,H3.1,0.33493480970822853
57,H3.1,0.3205170861115172
