Time,variable,value
12,C6.2,-0.1863213510959687
13,C6.2,-0.17412173882182858
14,C6.2,-0.10757839914469658
15,C6.2,-0.1730126831605423
16,C6.2,-0.11866895575755176
17,C6.2,-0.20961151998296446
18,C6.2,-0.25840996907952807
19,C6.2,-0.23068357754738988
20,C6.2,-0.28280919362781054
21,C6.2,-0.34158914367594306
22,C6.2,-0.3959328710789345
23,C6.2,-0.36155214557908266
24,C6.2,-0.36377025690165343
25,C6.2,-0.4103505946756463
26,C6.2,-0.413677761659502
27,C6.2,-0.4414041531916415
28,C6.2,-0.454712821127067
29,C6.2,-0.4746758230302066
30,C6.2,-0.4292045409174996
31,C6.2,-0.42809548525621466
32,C6.2,-0.4713486560463491
33,C6.2,-0.5068384372074868
34,C6.2,-0.49907504757848775
35,C6.2,-0.5456553853524788
36,C6.2,-0.5833632778361881
37,C6.2,-0.5744908325459028
38,C6.2,-0.5578549976266212
39,C6.2,-0.560073108949191
40,C6.2,-0.5866904448200456
41,C6.2,-0.5977810014328999
42,C6.2,-0.6022172240780419
43,C6.2,-0.6066534467231852
44,C6.2,-0.6121987250296126
45,C6.2,-0.6310526712714646
46,C6.2,-0.6554518958197475
47,C6.2,-0.6621062297874607
48,C6.2,-0.6787420647067428
49,C6.2,-0.6865054543357427
50,C6.2,-0.7231042911581658
51,C6.2,-0.7142318458678805
52,C6.2,-0.7364129590935908
53,C6.2,-0.7297586251258772
54,C6.2,-0.7652484062870171
55,C6.2,-0.748612571367731
56,C6.2,-0.7608121836418724
57,C6.2,-0.7707936845934413
58,C6.2,-0.7951929091417247
59,C6.2,-0.7763389628998691
60,C6.2,-0.8140468553835771
0,C7.2,0.35822497859522606
1,C7.2,0.38484231446607753
2,C7.2,0.425877373933643
3,C7.2,0.3926057040950761
4,C7.2,0.38262420314350676
5,C7.2,0.35489781161137035
6,C7.2,0.40147814938536097
7,C7.2,0.3870604257886501
8,C7.2,0.48687543530434674
9,C7.2,0.4480584871593538
10,C7.2,0.47134865604635
11,C7.2,0.5500916079976226
